 ,1-PID-1-1,1-PID-2-1,1-PID-3-1,1-PFA-0-1,1-PFA-1-1,1-PFA-2-1,1-PFA-3-1,1-RID-1-1,1-RID-2-1,1-RID-3-1
0,0.0164951,0.0166969,0.0159794,291.419,383.895,492.728,707.897,0.00565644,0.00434832,0.0024139
1,0.0462174,0.0398068,0.0304363,515.577,596.073,590.025,694.02,0.0222373,0.0211608,0.0153507
2,0.0076838,0.00860241,0.0101049,319.066,496.828,487.897,532.128,0.00017886,0.000207105,0.000191265
3,0.030232,0.0253503,0.0197872,388.985,622.401,740.694,818.57,0.00288412,0.00292385,0.00187149
4,0.0400518,0.0362171,0.0239129,351.6,524.449,580.737,688.612,0.0271805,0.0217321,0.0120692
5,0.0109318,0.0129932,0.0144277,279.166,406.993,547.781,697.228,0.00133017,0.00140476,0.00121308
6,0.0181201,0.0166946,0.0245722,566.19,986.126,974.224,821.899,0.00425773,0.00178066,0.00379811
7,0.0119376,0.0148251,0.0182839,311.804,549.845,584.12,746.574,0.00343477,0.00408563,0.00559637
8,0.0166859,0.0200512,0.0215986,391.068,542.738,677.129,775.463,0.00673485,0.00663039,0.00561969
9,0.00918973,0.00946465,0.0100102,342.114,432.957,456.526,517.982,9.65628e-05,0.000111673,8.65379e-05
10,0.0232874,0.0183854,0.0159597,337.424,587.018,623.141,723.326,0.00150961,0.001706,0.00109007
11,0.0140803,0.0164613,0.0154562,355.064,418.079,468.989,663.493,0.00415391,0.00360218,0.00167773
12,0.0193972,0.0197457,0.0217214,519.101,649.204,791.932,784.164,2.77554e-06,8.49584e-05,0.000524337
13,0.0147497,0.0157082,0.0207178,391.575,529.819,634.957,762.547,0.00285717,0.00123497,0.00186111
14,0.019248,0.0208455,0.0206542,391.564,549.445,592.954,786.683,0.00705245,0.00284263,0.00277832
15,0.0138601,0.0171964,0.0178666,418.649,673.6,768.402,753.92,0.000455611,0.00109398,0.00134691
16,0.0164388,0.0174465,0.0190315,236.671,478.946,512.106,759.036,0.00147431,0.00159483,0.00143044
17,0.0134907,0.0151584,0.017228,243.422,432.948,475.192,739.541,0.000496624,0.000192256,3.59603e-05
18,0.0192116,0.0191276,0.0325414,554.212,860.747,675.853,817.81,0.00520444,0.00359495,0.0115655
19,0.0222783,0.0193875,0.0164378,325.464,588.504,624.556,746.293,0.00424842,0.000383244,0.0026898
20,0.0189207,0.019104,0.0219051,373.049,404.051,572.507,786.052,0.00531574,0.00301543,0.00231646
21,0.0152969,0.0195079,0.0177205,315.525,550.834,538.006,759.448,0.00353122,0.000489592,0.00157963
22,0.0172368,0.0179416,0.0190469,512.744,556.656,687.098,756.474,0.00725094,0.00580212,0.00263143
23,0.034246,0.0286866,0.017456,416.466,514.518,650.592,804.487,0.0121941,0.00995787,0.00165549
24,0.0185078,0.0157744,0.0155773,335.314,507.927,588.3,694.163,0.000554584,0.000363984,0.000435641
25,0.018438,0.0199986,0.0209677,328.066,485.116,752.428,744.495,0.000848596,0.000166631,0.00136187
26,0.0242538,0.0225906,0.0218421,356.056,497.865,514.738,740.046,0.00886479,0.00748881,0.00546579
27,0.0111114,0.0151343,0.0174381,320.365,446.102,561.66,720.649,0.000346374,0.00100103,0.00225531
28,0.0205203,0.0200085,0.0207151,507.402,932.555,912.062,810.372,0.000715055,0.000802172,0.00012285
29,0.0395093,0.0372772,0.0322898,474.64,703.766,769.236,835.487,0.022075,0.0189217,0.0153703
30,0.0440298,0.040857,0.0341273,589.226,635.302,763.005,788.168,0.0130069,0.0135042,0.0141886
31,0.064829,0.0590273,0.0435729,478.269,669.668,661.382,784.458,0.0377291,0.0355397,0.0266125
32,0.0155994,0.018442,0.0192605,364.393,663.012,694.651,751.565,0.00306816,0.00236628,0.000689686
33,0.0177936,0.0186783,0.0232019,469.748,551.8,622.102,776.328,0.00728929,0.00617867,0.00562857
34,0.0191205,0.0189456,0.0186463,264.284,527.958,524.249,742.414,0.00343496,0.00323401,0.00312491
35,0.0200198,0.0254183,0.0338428,582.688,620.177,647.945,810.496,0.00474657,0.00354989,0.00116401
36,0.017347,0.0164933,0.018773,255.17,457.623,495.178,760.116,0.000758258,0.000171812,0.00188786
37,0.0334153,0.0284285,0.024948,491.922,539.136,591.52,773.81,0.0122242,0.00977413,0.00427561
38,0.0189325,0.020948,0.0211748,337.627,541.47,707.441,771.096,0.00252946,0.00239327,0.00289197
39,0.0230144,0.0206598,0.020957,367.55,588.759,752.73,782.983,0.00426857,0.00360033,0.00445906
