 ,1-PID-1-1,1-PID-2-1,1-PID-3-1,1-PFA-0-1,1-PFA-1-1,1-PFA-2-1,1-PFA-3-1,1-PRD-1-1,1-PRD-2-1,1-PRD-3-1
0,0.00434327,0.00506017,0.00467545,64.9743,153.203,218.152,210.949,4.07847e-05,4.74757e-05,4.49188e-05
1,0.00261146,0.00310884,0.0038586,105.425,193.167,178.612,197.619,0.000357612,0.000429321,0.000419831
2,0.00377078,0.00460658,0.00487053,92.435,134.939,152.056,230.269,9.97087e-05,0.000121119,0.000121263
3,0.00171317,0.00191799,0.00225298,71.1386,110.772,108.781,118.643,3.98785e-05,4.61738e-05,4.26501e-05
4,0.00802051,0.010277,0.0115762,155.668,216.131,336.59,555.623,9.43725e-05,9.25825e-05,9.97641e-05
5,0.00461173,0.00531149,0.00559262,140.519,171.151,234.939,272.597,0.000198949,0.00024589,0.000253885
6,0.00360494,0.00444339,0.00455618,65.63,112.2,186.55,212.436,8.03888e-05,9.87684e-05,0.000101056
7,0.00621265,0.00771945,0.00785715,126.237,254.834,303.711,395.905,0.000254123,0.000311896,0.000317706
8,0.00338604,0.00410839,0.00418714,69.5195,132.298,148.278,201.43,0.000563006,0.000692811,0.000711994
9,0.00204873,0.00211023,0.00223188,76.2773,96.7967,102.266,115.489,1.57623e-05,1.88604e-05,1.84148e-05
10,0.00556758,0.00714359,0.00802364,115.738,189.688,260.536,391.996,1.05345e-05,1.22455e-05,1.10726e-05
11,0.00421356,0.00507498,0.00529965,87.3051,121.672,181.005,249.597,1.92829e-05,2.56342e-05,3.04951e-05
12,0.00551582,0.00658507,0.00688519,108.026,182.078,284.121,340.081,0.000188162,0.000230936,0.00023565
13,0.00559698,0.00675147,0.00725029,89.7959,204.321,297.192,376.792,0.000117468,0.000142361,0.000141785
14,0.00440377,0.00534725,0.00710263,123.566,209.469,274.525,367.091,3.66149e-05,4.20172e-05,3.74108e-05
15,0.00475537,0.00557118,0.00544626,88.6409,140.837,225.281,258.565,0.00082662,0.0009975,0.000982215
16,0.00580872,0.00631385,0.00627536,86.151,226.439,267.343,323.897,0.000209358,0.000247577,0.000236142
17,0.00387243,0.00466281,0.00535039,83.1745,113.78,194.253,262.676,4.54781e-05,5.88935e-05,6.65074e-05
18,0.00508515,0.00616949,0.00614921,70.3491,132.122,206.17,291.076,0.00013573,0.000164627,0.000164568
19,0.0048835,0.00594582,0.0071774,108.734,260.236,321.037,383.159,3.81432e-05,4.96347e-05,5.60271e-05
20,0.00627646,0.00779086,0.00824476,151.353,216.009,302.116,390.191,4.3773e-05,5.31902e-05,5.37917e-05
21,0.0040415,0.00483486,0.00671514,114.321,135.186,218.746,347.466,0.000176955,0.000216291,0.000218983
22,0.0044864,0.00518781,0.00533586,92.855,149.905,201.721,269.87,8.91635e-05,0.000108631,0.000109547
23,0.00626625,0.0074136,0.00723001,108.636,159.985,268.073,332.185,0.000160912,0.000196845,0.000201094
24,0.00417279,0.00476513,0.00498352,73.343,126.266,203.665,238.563,7.3631e-05,9.15865e-05,9.54928e-05
25,0.0032074,0.00375028,0.00412956,71.428,99.9162,154.791,204.638,0.00011711,0.000134529,0.000124412
26,0.0046231,0.00547412,0.00609111,98.3852,192.377,226.094,311.324,0.000210929,0.000256615,0.000258561
27,0.00685177,0.0080472,0.00989061,119.553,224.004,348.382,503.692,0.00042138,0.000506544,0.00049576
28,0.00325749,0.00374939,0.00556472,110.541,206.761,238.447,305.002,1.97374e-05,2.42369e-05,2.49341e-05
29,0.00491277,0.00575789,0.00594675,105.456,168.938,226.355,296.751,0.000354822,0.000444689,0.000471913
30,0.00765514,0.00910175,0.0101994,150.864,277.27,355.67,503.199,4.01185e-05,5.19937e-05,5.7952e-05
31,0.0072125,0.00832708,0.00843469,113.13,229.548,311.587,396.362,4.07482e-05,5.23709e-06,8.21162e-05
32,0.00374963,0.00419659,0.00552894,143.102,288.746,301.527,311.241,1.83245e-05,1.95909e-05,1.49585e-05
33,0.00359736,0.00416198,0.00430334,81.2449,155.534,178.694,214.027,0.000118831,0.000149282,0.000159091
34,0.00686777,0.00894653,0.0110035,129.915,213.183,332.206,551.146,4.06697e-06,3.71611e-06,2.02889e-06
35,0.00278326,0.00308814,0.00327276,103.927,137.625,151.844,164.822,1.91175e-05,2.21692e-05,2.08344e-05
36,0.00475366,0.00594483,0.00650044,111.669,159.857,239.052,311.104,4.60459e-06,5.50021e-06,5.3095e-06
37,0.00812732,0.0101011,0.0112504,83.6826,239.12,366.87,540.543,7.75602e-06,6.61039e-06,8.40337e-06
38,0.00378886,0.00427542,0.00558254,79.5698,187.861,212.614,290.54,1.24974e-05,1.31607e-05,9.13525e-06
39,0.00338813,0.00400451,0.00408376,84.367,105.99,134.555,193.343,2.14175e-05,2.86465e-05,3.38989e-05
